ds,y,category
2015-01-01,64.0,Cleats
2015-01-02,69.0,Cleats
2015-01-03,73.0,Cleats
2015-01-04,88.0,Cleats
2015-01-05,90.0,Cleats
2015-01-06,62.0,Cleats
2015-01-07,71.0,Cleats
2015-01-08,83.0,Cleats
2015-01-09,65.0,Cleats
2015-01-10,79.0,Cleats
2015-01-11,59.0,Cleats
2015-01-12,107.0,Cleats
2015-01-13,73.0,Cleats
2015-01-14,69.0,Cleats
2015-01-15,61.0,Cleats
2015-01-16,84.0,Cleats
2015-01-17,60.0,Cleats
2015-01-18,78.0,Cleats
2015-01-19,62.0,Cleats
2015-01-20,57.0,Cleats
2015-01-21,91.0,Cleats
2015-01-22,79.0,Cleats
2015-01-23,82.0,Cleats
2015-01-24,63.0,Cleats
2015-01-25,81.0,Cleats
2015-01-26,94.0,Cleats
2015-01-27,90.0,Cleats
2015-01-28,85.0,Cleats
2015-01-29,60.0,Cleats
2015-01-30,41.0,Cleats
2015-01-31,61.0,Cleats
2015-02-01,67.0,Cleats
2015-02-02,47.0,Cleats
2015-02-03,50.0,Cleats
2015-02-04,61.0,Cleats
2015-02-05,65.0,Cleats
2015-02-06,80.0,Cleats
2015-02-07,81.0,Cleats
2015-02-08,49.0,Cleats
2015-02-09,92.0,Cleats
2015-02-10,96.0,Cleats
2015-02-11,62.0,Cleats
2015-02-12,48.0,Cleats
2015-02-13,56.0,Cleats
2015-02-14,49.0,Cleats
2015-02-15,90.0,Cleats
2015-02-16,69.0,Cleats
2015-02-17,50.0,Cleats
2015-02-18,74.0,Cleats
2015-02-19,93.0,Cleats
2015-02-20,39.0,Cleats
2015-02-21,93.0,Cleats
2015-02-22,69.0,Cleats
2015-02-23,66.0,Cleats
2015-02-24,78.0,Cleats
2015-02-25,94.0,Cleats
2015-02-26,53.0,Cleats
2015-02-27,65.0,Cleats
2015-02-28,63.0,Cleats
2015-03-01,100.0,Cleats
2015-03-02,84.0,Cleats
2015-03-03,105.0,Cleats
2015-03-04,78.0,Cleats
2015-03-05,98.0,Cleats
2015-03-06,66.0,Cleats
2015-03-07,71.0,Cleats
2015-03-08,72.0,Cleats
2015-03-09,81.0,Cleats
2015-03-10,93.0,Cleats
2015-03-11,77.0,Cleats
2015-03-12,57.0,Cleats
2015-03-13,85.0,Cleats
2015-03-14,70.0,Cleats
2015-03-15,65.0,Cleats
2015-03-16,63.0,Cleats
2015-03-17,80.0,Cleats
2015-03-18,56.0,Cleats
2015-03-19,59.0,Cleats
2015-03-20,39.0,Cleats
2015-03-21,68.0,Cleats
2015-03-22,78.0,Cleats
2015-03-23,74.0,Cleats
2015-03-24,68.0,Cleats
2015-03-25,82.0,Cleats
2015-03-26,45.0,Cleats
2015-03-27,44.0,Cleats
2015-03-28,62.0,Cleats
2015-03-29,61.0,Cleats
2015-03-30,131.0,Cleats
2015-03-31,76.0,Cleats
2015-04-01,76.0,Cleats
2015-04-02,50.0,Cleats
2015-04-03,63.0,Cleats
2015-04-04,65.0,Cleats
2015-04-05,81.0,Cleats
2015-04-06,52.0,Cleats
2015-04-07,41.0,Cleats
2015-04-08,65.0,Cleats
2015-04-09,73.0,Cleats
2015-04-10,89.0,Cleats
2015-04-11,73.0,Cleats
2015-04-12,43.0,Cleats
2015-04-13,72.0,Cleats
2015-04-14,89.0,Cleats
2015-04-15,62.0,Cleats
2015-04-16,79.0,Cleats
2015-04-17,79.0,Cleats
2015-04-18,81.0,Cleats
2015-04-19,78.0,Cleats
2015-04-20,66.0,Cleats
2015-04-21,48.0,Cleats
2015-04-22,62.0,Cleats
2015-04-23,72.0,Cleats
2015-04-24,58.0,Cleats
2015-04-25,95.0,Cleats
2015-04-26,76.0,Cleats
2015-04-27,67.0,Cleats
2015-04-28,63.0,Cleats
2015-04-29,59.0,Cleats
2015-04-30,85.0,Cleats
2015-05-01,83.0,Cleats
2015-05-02,62.0,Cleats
2015-05-03,68.0,Cleats
2015-05-04,74.0,Cleats
2015-05-05,37.0,Cleats
2015-05-06,62.0,Cleats
2015-05-07,61.0,Cleats
2015-05-08,76.0,Cleats
2015-05-09,87.0,Cleats
2015-05-10,52.0,Cleats
2015-05-11,68.0,Cleats
2015-05-12,54.0,Cleats
2015-05-13,84.0,Cleats
2015-05-14,94.0,Cleats
2015-05-15,75.0,Cleats
2015-05-16,48.0,Cleats
2015-05-17,97.0,Cleats
2015-05-18,74.0,Cleats
2015-05-19,66.0,Cleats
2015-05-20,77.0,Cleats
2015-05-21,67.0,Cleats
2015-05-22,63.0,Cleats
2015-05-23,67.0,Cleats
2015-05-24,57.0,Cleats
2015-05-25,64.0,Cleats
2015-05-26,81.0,Cleats
2015-05-27,53.0,Cleats
2015-05-28,55.0,Cleats
2015-05-29,102.0,Cleats
2015-05-30,71.0,Cleats
2015-05-31,59.0,Cleats
2015-06-01,82.0,Cleats
2015-06-02,39.0,Cleats
2015-06-03,119.0,Cleats
2015-06-04,68.0,Cleats
2015-06-05,52.0,Cleats
2015-06-06,37.0,Cleats
2015-06-07,88.0,Cleats
2015-06-08,90.0,Cleats
2015-06-09,33.0,Cleats
2015-06-10,46.0,Cleats
2015-06-11,47.0,Cleats
2015-06-12,61.0,Cleats
2015-06-13,85.0,Cleats
2015-06-14,37.0,Cleats
2015-06-15,77.0,Cleats
